Season;Squad;PassDead-S;PassDead-G
2024-2025;Arsenal;82;11
2024-2025;Aston Villa;85;7
2024-2025;Bournemouth;68;6
2024-2025;Brentford;74;11
2024-2025;Brighton;70;7
2024-2025;Chelsea;60;5
2024-2025;Crystal Palace;76;8
2024-2025;Everton;65;4
2024-2025;Fulham;73;3
2024-2025;Ipswich Town;72;2
2024-2025;Leicester City;49;4
2024-2025;Liverpool;70;7
2024-2025;Manchester City;69;3
2024-2025;Manchester Utd;78;4
2024-2025;Newcastle Utd;73;7
2024-2025;Nott'ham Forest;74;10
2024-2025;Southampton;56;5
2024-2025;Tottenham;67;7
2024-2025;West Ham;69;5
2024-2025;Wolves;57;5
2023-2024;Arsenal;82;16
2023-2024;Aston Villa;77;8
2023-2024;Bournemouth;70;3
2023-2024;Brentford;102;7
2023-2024;Brighton;87;5
2023-2024;Burnley;74;6
2023-2024;Chelsea;62;7
2023-2024;Crystal Palace;74;4
2023-2024;Everton;82;5
2023-2024;Fulham;79;6
2023-2024;Liverpool;116;8
2023-2024;Luton Town;73;7
2023-2024;Manchester City;65;5
2023-2024;Manchester Utd;79;4
2023-2024;Newcastle Utd;69;7
2023-2024;Nott'ham Forest;67;5
2023-2024;Sheffield Utd;59;2
2023-2024;Tottenham;60;7
2023-2024;West Ham;91;11
2023-2024;Wolves;67;7
2022-2023;Arsenal;78;6
2022-2023;Aston Villa;50;2
2022-2023;Bournemouth;45;5
2022-2023;Brentford;99;8
2022-2023;Brighton;73;3
2022-2023;Chelsea;66;3
2022-2023;Crystal Palace;67;6
2022-2023;Everton;84;5
2022-2023;Fulham;78;9
2022-2023;Leeds United;99;7
2022-2023;Leicester City;52;2
2022-2023;Liverpool;85;9
2022-2023;Manchester City;81;7
2022-2023;Manchester Utd;58;3
2022-2023;Newcastle Utd;110;6
2022-2023;Nott'ham Forest;59;5
2022-2023;Southampton;77;5
2022-2023;Tottenham;60;7
2022-2023;West Ham;81;6
2022-2023;Wolves;62;1
2021-2022;Arsenal;68;8
2021-2022;Aston Villa;85;9
2021-2022;Brentford;96;11
2021-2022;Brighton;84;8
2021-2022;Burnley;81;9
2021-2022;Chelsea;62;9
2021-2022;Crystal Palace;63;3
2021-2022;Everton;69;4
2021-2022;Leeds United;68;2
2021-2022;Leicester City;41;3
2021-2022;Liverpool;105;9
2021-2022;Manchester City;78;10
2021-2022;Manchester Utd;65;6
2021-2022;Newcastle Utd;81;4
2021-2022;Norwich City;67;2
2021-2022;Southampton;68;5
2021-2022;Tottenham;51;3
2021-2022;Watford;59;5
2021-2022;West Ham;68;10
2021-2022;Wolves;44;4
2020-2021;Arsenal;44;2
2020-2021;Aston Villa;91;8
2020-2021;Brighton;75;6
2020-2021;Burnley;71;6
2020-2021;Chelsea;81;6
2020-2021;Crystal Palace;54;5
2020-2021;Everton;67;9
2020-2021;Fulham;65;2
2020-2021;Leeds United;73;6
2020-2021;Leicester City;49;3
2020-2021;Liverpool;71;6
2020-2021;Manchester City;61;3
2020-2021;Manchester Utd;73;5
2020-2021;Newcastle Utd;85;7
2020-2021;Sheffield Utd;48;3
2020-2021;Southampton;63;8
2020-2021;Tottenham;55;6
2020-2021;West Brom;60;3
2020-2021;West Ham;92;12
2020-2021;Wolves;74;4
2019-2020;Arsenal;59;5
2019-2020;Aston Villa;88;8
2019-2020;Bournemouth;69;6
2019-2020;Brighton;73;9
2019-2020;Burnley;83;10
2019-2020;Chelsea;86;6
2019-2020;Crystal Palace;68;3
2019-2020;Everton;86;4
2019-2020;Leicester City;73;3
2019-2020;Liverpool;77;11
2019-2020;Manchester City;72;6
2019-2020;Manchester Utd;50;4
2019-2020;Newcastle Utd;75;6
2019-2020;Norwich City;56;2
2019-2020;Sheffield Utd;62;3
2019-2020;Southampton;74;3
2019-2020;Tottenham;43;3
2019-2020;Watford;69;6
2019-2020;West Ham;78;7
2019-2020;Wolves;70;6
