Jogador;Minutos;TklW;Int;Blocks;PassBlocks;Cmp;Cmp%;PrgC;PrgP;PPA;Crosses;SCA;CrsPA;GCA;PPG
Paulo Henrique;1863;48;27;34;25;845;78.5;74;66;28;88;59;20;9;1.22
Agustin Giay;1660;37;14;18;13;818;82.3;26;75;9;33;42;5;1;2.23
Wiliiam;1468;32;27;24;18;672;72.5;28;61;23;99;60;14;7;1.93
Lucas Ramon;2019;37;42;21;15;758;70.7;49;74;35;97;58;25;7;1.70
Emerson Royal;527;10;11;6;6;242;82.9;15;20;6;17;16;2;0;2.12
Vitinho;2084;31;18;26;19;808;79.3;39;70;20;86;48;14;1;1.59
Gilberto;1416;27;14;12;4;797;84.7;33;63;11;30;36;4;2;1.65
Eros Mancuso;1307;18;15;13;12;513;79.4;22;50;11;40;30;5;6;0.92
Natanael;1819;30;20;20;13;679;82.0;19;56;5;38;33;1;0;1.23
Braian Aguirre;1955;32;28;23;14;946;77.4;32;103;19;66;40;8;3;1.23
Matheuzinho;1867;31;24;23;15;1024;82.8;47;102;26;65;44;17;3;1.22
Samuel Xavier;1422;16;7;19;14;847;85.4;37;86;18;33;35;4;2;1.46
